datetime,min,max,mean,count,sum,std,median,majority,minority,unique,histogram,valid_percent,masked_pixels,valid_pixels,percentile_2,percentile_98,date
2021-01-01,0.6357128024101257,4267157.0,171.41380310058594,160088.34375,27441352.0,12779.432851265348,13.186866760253906,0.6357128024101257,0.6357987523078918,146928.0,"[[161036.0, 5.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.6357128024101257, 426716.28125, 853431.9375, 1280147.625, 1706863.25, 2133579.0, 2560294.75, 2987010.25, 3413726.0, 3840441.75, 4267157.0]]",60.94,103220.0,161044.0,1.581864833831787,930.9640502929688,2021-01-01
2020-01-01,0.5995553731918335,4253735.5,163.58030700683594,160088.34375,26187300.0,12627.715549536266,12.564595222473145,0.5995553731918335,0.5996518135070801,146885.0,"[[161036.0, 5.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.5995553731918335, 425374.09375, 850747.625, 1276121.125, 1701494.625, 2126868.0, 2552241.5, 2977615.0, 3402988.5, 3828362.0, 4253735.5]]",60.94,103220.0,161044.0,1.527130126953125,884.8480224609375,2020-01-01
2019-01-01,0.6476147770881653,3839309.0,168.0540313720703,160088.34375,26903492.0,11586.960257116618,13.540362358093262,0.6476147770881653,0.6477225422859192,146810.0,"[[161036.0, 5.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.6476147770881653, 383931.46875, 767862.25, 1151793.125, 1535723.875, 1919654.625, 2303585.75, 2687516.5, 3071447.25, 3455378.0, 3839309.0]]",60.94,103220.0,161044.0,1.5684202909469604,929.7044677734375,2019-01-01
2018-01-01,0.6469507217407227,4019791.5,179.5821533203125,160088.34375,28749010.0,12672.585213759661,13.436912536621094,0.6469507217407227,0.6470556259155273,146799.0,"[[161036.0, 5.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.6469507217407227, 401979.71875, 803958.75, 1205937.875, 1607916.875, 2009895.875, 2411875.25, 2813854.25, 3215833.25, 3617812.25, 4019791.5]]",60.94,103220.0,161044.0,1.545406460762024,940.3802490234375,2018-01-01
2017-01-01,0.6475562453269958,4117448.5,176.85546875,160088.34375,28312498.0,13048.219495394764,13.117727279663086,0.6475562453269958,0.64763343334198,146816.0,"[[161035.0, 6.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0], [0.6475562453269958, 411745.4375, 823490.1875, 1235235.0, 1646979.75, 2058724.5, 2470469.5, 2882214.25, 3293959.0, 3705703.75, 4117448.5]]",60.94,103220.0,161044.0,1.5045915842056274,880.8904418945312,2017-01-01
2016-01-01,0.6545771956443787,3781360.75,169.7677001953125,160088.34375,27177830.0,11600.435164251383,13.25631332397461,0.6545771956443787,0.6546567678451538,146823.0,"[[161035.0, 6.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.6545771956443787, 378136.65625, 756272.625, 1134408.625, 1512544.625, 1890680.625, 2268816.75, 2646952.75, 3025088.75, 3403224.75, 3781360.75]]",60.94,103220.0,161044.0,1.5432066917419434,888.023681640625,2016-01-01
2015-01-01,0.7512251734733582,3994775.25,178.21963500976562,160088.34375,28530886.0,12375.92113743458,13.72923469543457,0.7512251734733582,0.7512972950935364,146787.0,"[[161034.0, 6.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.7512251734733582, 399478.1875, 798955.625, 1198433.0, 1597910.5, 1997388.0, 2396865.25, 2796342.75, 3195820.25, 3595297.75, 3994775.25]]",60.94,103220.0,161044.0,1.7549080848693848,888.6439819335938,2015-01-01
2014-01-01,0.7519895434379578,3696738.5,189.9616241455078,160088.34375,30410642.0,12754.732455053692,13.862710952758789,0.7519895434379578,0.7520750761032104,146779.0,"[[161032.0, 5.0, 3.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0], [0.7519895434379578, 369674.53125, 739348.3125, 1109022.125, 1478695.875, 1848369.625, 2218043.5, 2587717.25, 2957391.0, 3327064.75, 3696738.5]]",60.94,103220.0,161044.0,1.7962594032287598,911.2967529296875,2014-01-01
2013-01-01,0.7382680773735046,4150692.0,189.64598083496094,160088.34375,30360110.0,13457.573035283887,13.537671089172363,0.7382680773735046,0.7383445501327515,146773.0,"[[161032.0, 7.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.7382680773735046, 415069.875, 830139.0, 1245208.125, 1660277.25, 2075346.375, 2490415.5, 2905484.75, 3320553.75, 3735622.75, 4150692.0]]",60.94,103220.0,161044.0,1.7497377395629883,879.5200805664062,2013-01-01
2012-01-01,0.7298296689987183,3840799.25,183.85476684570312,160088.34375,29433006.0,12791.757971443956,13.197393417358398,0.7298296689987183,0.7298870086669922,146768.0,"[[161032.0, 7.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0], [0.7298296689987183, 384080.5625, 768160.4375, 1152240.25, 1536320.125, 1920400.0, 2304479.75, 2688559.75, 3072639.5, 3456719.25, 3840799.25]]",60.94,103220.0,161044.0,1.70206618309021,838.8541259765625,2012-01-01
