datetime,min,max,mean,count,sum,std,median,majority,minority,unique,histogram,valid_percent,masked_pixels,valid_pixels,percentile_2,percentile_98,date
2021-01-01,1.9201353788375854,1965839.875,465.8612976074219,107690.3203125,50168752.0,12988.729268100094,33.17184829711914,2.8438518047332764,1.9202035665512085,95470.0,"[[108734.0, 9.0, 6.0, 8.0, 3.0, 1.0, 1.0, 0.0, 0.0, 2.0], [1.9201353788375854, 196585.71875, 393169.5, 589753.3125, 786337.125, 982920.9375, 1179504.625, 1376088.5, 1572672.25, 1769256.0, 1965839.875]]",84.99,19216.0,108764.0,3.2256386280059814,2539.190185546875,2021-01-01
2020-01-01,1.8167005777359009,1965132.5,431.4809265136719,107690.3203125,46466320.0,12279.077489779109,30.827733993530273,2.6889772415161133,1.8167645931243896,95475.0,"[[108737.0, 7.0, 7.0, 7.0, 4.0, 0.0, 0.0, 0.0, 0.0, 2.0], [1.8167005777359009, 196514.875, 393027.9375, 589541.0, 786054.0625, 982567.125, 1179080.25, 1375593.375, 1572106.375, 1768619.375, 1965132.5]]",84.99,19216.0,108764.0,3.044344902038574,2386.15966796875,2020-01-01
2019-01-01,2.076805830001831,2853575.5,482.6501159667969,107690.3203125,51976744.0,15698.498781730692,34.27546691894531,3.071729898452759,2.078070878982544,95401.0,"[[108740.0, 16.0, 3.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 2.0], [2.076805830001831, 285359.40625, 570716.75, 856074.0625, 1141431.5, 1426788.875, 1712146.125, 1997503.5, 2282860.75, 2568218.0, 2853575.5]]",84.99,19216.0,108764.0,3.495957374572754,2679.765380859375,2019-01-01
2018-01-01,2.05930233001709,3137332.5,487.8595275878906,107690.3203125,52537748.0,15911.67973533907,35.33366012573242,3.0439116954803467,2.060476303100586,95405.0,"[[108741.0, 15.0, 5.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0], [2.05930233001709, 313735.125, 627468.1875, 941201.25, 1254934.25, 1568667.25, 1882400.375, 2196133.5, 2509866.5, 2823599.5, 3137332.5]]",84.99,19216.0,108764.0,3.533764123916626,2694.88623046875,2018-01-01
2017-01-01,2.071868419647217,3016798.25,488.18499755859375,107690.3203125,52572800.0,17515.628678411747,34.01192855834961,3.0607640743255615,2.072727680206299,95398.0,"[[108745.0, 9.0, 5.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 2.0], [2.071868419647217, 301681.6875, 603361.3125, 905040.9375, 1206720.625, 1508400.25, 1810079.875, 2111759.5, 2413439.0, 2715118.5, 3016798.25]]",84.99,19216.0,108764.0,3.5366106033325195,2579.21728515625,2017-01-01
2016-01-01,2.0631725788116455,2938221.5,501.91650390625,107690.3203125,54051548.0,19215.14902362196,33.7221794128418,3.04591703414917,2.063878059387207,95402.0,"[[108745.0, 8.0, 4.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0], [2.0631725788116455, 293824.0, 587645.9375, 881467.875, 1175289.875, 1469111.875, 1762933.75, 2056755.625, 2350577.5, 2644399.5, 2938221.5]]",84.99,19216.0,108764.0,3.533987045288086,2514.453125,2016-01-01
2015-01-01,2.338120460510254,3453351.25,533.8755493164062,107690.3203125,57493228.0,21901.773444175702,35.619384765625,3.455705165863037,2.3382551670074463,95409.0,"[[108746.0, 11.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0], [2.338120460510254, 345337.25, 690672.125, 1036007.0625, 1381342.0, 1726676.875, 2072011.875, 2417346.5, 2762681.5, 3108016.5, 3453351.25]]",84.99,19216.0,108764.0,3.8522543907165527,2639.332275390625,2015-01-01
2014-01-01,2.4060046672821045,4243703.5,576.9522705078125,107690.3203125,62132172.0,25502.037565653456,36.68888854980469,3.554382562637329,2.4061484336853027,95401.0,"[[108748.0, 9.0, 0.0, 2.0, 0.0, 0.0, 3.0, 0.0, 0.0, 2.0], [2.4060046672821045, 424372.5, 848742.5625, 1273112.625, 1697482.75, 2121853.0, 2546223.0, 2970593.25, 3394963.25, 3819333.25, 4243703.5]]",84.99,19216.0,108764.0,4.000332355499268,2725.960205078125,2014-01-01
2013-01-01,2.4203298091888428,4384010.0,586.3673706054688,107690.3203125,63146092.0,26817.90804667657,35.54574203491211,3.5721755027770996,2.4204599857330322,95399.0,"[[108748.0, 8.0, 0.0, 2.0, 1.0, 0.0, 3.0, 0.0, 0.0, 2.0], [2.4203298091888428, 438403.15625, 876803.9375, 1315204.625, 1753605.375, 2192006.25, 2630407.0, 3068807.75, 3507208.5, 3945609.25, 4384010.0]]",84.99,19216.0,108764.0,3.970757007598877,2582.94189453125,2013-01-01
2012-01-01,2.428971529006958,4415011.5,570.5263061523438,107690.3203125,61440160.0,26294.54331225397,34.29970169067383,3.584186315536499,2.4290859699249268,95414.0,"[[108749.0, 7.0, 0.0, 1.0, 1.0, 3.0, 1.0, 0.0, 0.0, 2.0], [2.428971529006958, 441503.34375, 883004.25, 1324505.125, 1766006.0, 2207507.0, 2649008.0, 3090508.75, 3532009.75, 3973510.75, 4415011.5]]",84.99,19216.0,108764.0,3.903160810470581,2430.401611328125,2012-01-01
2011-01-01,2.434438467025757,4416603.0,593.6268310546875,107690.3203125,63927864.0,27507.432013912166,35.36949157714844,3.602203130722046,2.43454647064209,95409.0,"[[108751.0, 5.0, 0.0, 0.0, 1.0, 3.0, 2.0, 0.0, 0.0, 2.0], [2.434438467025757, 441662.5, 883322.5625, 1324982.625, 1766642.625, 2208302.75, 2649963.0, 3091623.0, 3533283.0, 3974943.0, 4416603.0]]",84.99,19216.0,108764.0,3.964712142944336,2472.793212890625,2011-01-01
2010-01-01,2.4485976696014404,4429202.0,611.0447998046875,107690.3203125,65803608.0,28772.092033774672,35.58586120605469,3.62013840675354,2.4487144947052,95263.0,"[[108750.0, 5.0, 1.0, 0.0, 0.0, 3.0, 2.0, 1.0, 0.0, 2.0], [2.4485976696014404, 442922.375, 885842.3125, 1328762.25, 1771682.25, 2214602.25, 2657522.0, 3100442.0, 3543362.0, 3986282.0, 4429202.0]]",84.99,19216.0,108764.0,3.984243631362915,2482.035400390625,2010-01-01
