datetime,min,max,mean,count,sum,std,median,majority,minority,unique,histogram,valid_percent,masked_pixels,valid_pixels,percentile_2,percentile_98,date
2021-01-01,13.401473045349121,370003.21875,1048.7073974609375,2493.739990234375,2615203.5,9149.561738138062,176.3977508544922,23.25569725036621,13.4754056930542,2338.0,"[[2633.0, 1.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0], [13.401473045349121, 37012.3828125, 74011.359375, 111010.3359375, 148009.328125, 185008.3125, 222007.28125, 259006.265625, 296005.25, 333004.21875, 370003.21875]]",58.0,1911.0,2639.0,19.6260929107666,5480.6416015625,2021-01-01
2020-01-01,12.320509910583496,368737.125,969.8196411132812,2493.739990234375,2418478.0,8900.027415688111,157.94497680664062,21.024276733398438,12.383317947387695,2338.0,"[[2633.0, 1.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0], [12.320509910583496, 36884.80078125, 73757.28125, 110629.7578125, 147502.25, 184374.734375, 221247.203125, 258119.6875, 294992.15625, 331864.625, 368737.125]]",58.0,1911.0,2639.0,17.725927352905273,5170.54150390625,2020-01-01
2019-01-01,14.44373893737793,319118.4375,1020.2314453125,2493.739990234375,2544192.0,8041.739861497635,162.26588439941406,23.710750579833984,14.44373893737793,2343.0,"[[2632.0, 2.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0], [14.44373893737793, 31924.84375, 63835.24609375, 95745.6484375, 127656.046875, 159566.4375, 191476.84375, 223387.234375, 255297.640625, 287208.03125, 319118.4375]]",58.0,1911.0,2639.0,20.397140502929688,5689.833984375,2019-01-01
2018-01-01,14.564067840576172,293778.5,1062.247802734375,2493.739990234375,2648969.75,8217.189787269124,173.31198120117188,23.599767684936523,14.564067840576172,2343.0,"[[2632.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0], [14.564067840576172, 29390.958984375, 58767.3515625, 88143.75, 117520.140625, 146896.53125, 176272.9375, 205649.328125, 235025.71875, 264402.125, 293778.5]]",58.0,1911.0,2639.0,21.906932830810547,5912.77880859375,2018-01-01
2017-01-01,13.847278594970703,293259.125,981.9258422851562,2493.739990234375,2448667.75,7932.457626738387,153.4200439453125,22.867076873779297,13.847278594970703,2343.0,"[[2632.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0], [13.847278594970703, 29338.375, 58662.90234375, 87987.421875, 117311.953125, 146636.484375, 175961.0, 205285.53125, 234610.0625, 263934.59375, 293259.125]]",58.0,1911.0,2639.0,19.31662368774414,5457.880859375,2017-01-01
2016-01-01,13.586920738220215,248003.25,940.8991088867188,2493.739990234375,2346357.75,7300.534774932587,152.00372314453125,21.755563735961914,13.586920738220215,2343.0,"[[2632.0, 2.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0], [13.586920738220215, 24812.552734375, 49611.515625, 74410.4765625, 99209.4453125, 124008.4140625, 148807.375, 173606.34375, 198405.3125, 223204.28125, 248003.25]]",58.0,1911.0,2639.0,19.43536376953125,5311.61279296875,2016-01-01
2015-01-01,15.894351959228516,263309.6875,1019.5076293945312,2493.739990234375,2542387.0,7216.552639591843,183.0974578857422,24.944265365600586,15.894351959228516,2343.0,"[[2632.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [15.894351959228516, 26345.2734375, 52674.65234375, 79004.03125, 105333.40625, 131662.78125, 157992.171875, 184321.546875, 210650.921875, 236980.296875, 263309.6875]]",58.0,1911.0,2639.0,24.137163162231445,5505.2490234375,2015-01-01
2014-01-01,16.082422256469727,218817.234375,980.23291015625,2493.739990234375,2444446.0,6271.787305067033,179.71160888671875,26.32638931274414,16.082422256469727,2343.0,"[[2632.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0], [16.082422256469727, 21896.197265625, 43776.3125, 65656.4296875, 87536.546875, 109416.6640625, 131296.765625, 153176.890625, 175057.0, 196937.109375, 218817.234375]]",58.0,1911.0,2639.0,23.873899459838867,5517.3701171875,2014-01-01
2013-01-01,15.2456693649292,208922.53125,973.8280639648438,2493.739990234375,2428474.0,6686.757061535884,173.70608520507812,25.437807083129883,15.2456693649292,2343.0,"[[2632.0, 1.0, 0.0, 0.0, 3.0, 0.0, 1.0, 0.0, 0.0, 2.0], [15.2456693649292, 20905.974609375, 41796.703125, 62687.43359375, 83578.15625, 104468.8828125, 125359.6171875, 146250.34375, 167141.078125, 188031.8125, 208922.53125]]",58.0,1911.0,2639.0,22.712635040283203,5259.03369140625,2013-01-01
2012-01-01,15.110944747924805,322882.15625,1008.8621826171875,2493.739990234375,2515840.0,8850.557496564836,166.06488037109375,25.466690063476562,15.110944747924805,2343.0,"[[2632.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0], [15.110944747924805, 32301.814453125, 64588.515625, 96875.21875, 129161.921875, 161448.625, 193735.328125, 226022.03125, 258308.734375, 290595.4375, 322882.15625]]",58.0,1911.0,2639.0,22.50458526611328,5124.59716796875,2012-01-01
2011-01-01,15.817902565002441,320444.1875,1051.9534912109375,2493.739990234375,2623298.5,9417.933531300801,172.6688232421875,31.442577362060547,15.817902565002441,2343.0,"[[2632.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0], [15.817902565002441, 32058.65625, 64101.4921875, 96144.3359375, 128187.171875, 160230.0, 192272.84375, 224315.671875, 256358.515625, 288401.34375, 320444.1875]]",58.0,1911.0,2639.0,22.58529281616211,5393.74365234375,2011-01-01
2010-01-01,16.705995559692383,322056.4375,1075.25244140625,2493.739990234375,2681400.0,8795.618454662526,183.0732421875,35.517330169677734,16.705995559692383,2341.0,"[[2631.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0], [16.705995559692383, 32220.677734375, 64424.65234375, 96628.625, 128832.59375, 161036.5625, 193240.546875, 225444.515625, 257648.484375, 289852.46875, 322056.4375]]",58.0,1911.0,2639.0,23.894134521484375,5656.8359375,2010-01-01
